uniprotid,status,has_both,xray_count,em_count,xray_pdbs,em_pdbs
A0A8H6BTR7,OK,True,4,1,"8CQ7, 8CQW, 8CRE, 8OEQ",8Q5I
A0A8H6BR69,OK,True,4,1,"8CQ7, 8CQW, 8CRE, 8OEQ",8Q5I
A0A8H6BYS1,OK,True,4,1,"8CQ7, 8CQW, 8CRE, 8OEQ",8Q5I
A0A8H6BS29,OK,True,4,1,"8CQ7, 8CQW, 8CRE, 8OEQ",8Q5I
A0A8H6C655,OK,True,4,1,"8CQ7, 8CQW, 8CRE, 8OEQ",8Q5I
A0A8H6F0V0,OK,True,4,1,"8CQ7, 8CQW, 8CRE, 8OEQ",8Q5I
A0A8H6BWE6,OK,True,4,1,"8CQ7, 8CQW, 8CRE, 8OEQ",8Q5I
A0A8H6BWQ8,OK,True,4,1,"8CQ7, 8CQW, 8CRE, 8OEQ",8Q5I
A0A1D8PN83,OK,True,8,7,"8C3A, 8CQ7, 8CQW, 8CRE, 8OEQ, 8OH6, 8OI5, 8OJ3","7PZY, 7Q08, 7Q0F, 7Q0P, 7Q0R, 8OGJ, 8Q5I"
A0A8H6F4G0,OK,True,4,1,"8CQ7, 8CQW, 8CRE, 8OEQ",8Q5I
Q9P844,OK,True,8,2,"8C3A, 8CQ7, 8CQW, 8CRE, 8OEQ, 8OH6, 8OI5, 8OJ3","8OGJ, 8Q5I"
A0A8H6C0A5,OK,True,4,1,"8CQ7, 8CQW, 8CRE, 8OEQ",8Q5I
A0A1D8PK22,OK,True,8,7,"8C3A, 8CQ7, 8CQW, 8CRE, 8OEQ, 8OH6, 8OI5, 8OJ3","7PZY, 7Q08, 7Q0F, 7Q0P, 7Q0R, 8OGJ, 8Q5I"
O94017,OK,True,8,2,"8C3A, 8CQ7, 8CQW, 8CRE, 8OEQ, 8OH6, 8OI5, 8OJ3","8OGJ, 8Q5I"
A0A8H6F3Y8,OK,True,4,1,"8CQ7, 8CQW, 8CRE, 8OEQ",8Q5I
A0A1D8PTR4,OK,True,8,7,"8C3A, 8CQ7, 8CQW, 8CRE, 8OEQ, 8OH6, 8OI5, 8OJ3","7PZY, 7Q08, 7Q0F, 7Q0P, 7Q0R, 8OGJ, 8Q5I"
A0A8H6C5L4,OK,True,4,1,"8CQ7, 8CQW, 8CRE, 8OEQ",8Q5I
