uniprotid,status,has_both,xray_count,em_count,xray_pdbs,em_pdbs
Q9R1P0,OK,True,4,2,"3UNB, 3UNE, 3UNF, 3UNH","8YPK, 8YVP"
Q9Z2U1,OK,True,4,2,"3UNB, 3UNE, 3UNF, 3UNH","8YPK, 8YVP"
Q60692,OK,True,2,2,"3UNB, 3UNE","8YPK, 8YVP"
Q5JE34,OK,True,1,5,4QIW,"6KF3, 6KF4, 6KF9, 9BCT, 9BCU"
P19491,OK,True,203,108,"1FTJ, 1FTK, 1FTL, 1FTM, 1FTO, 1FW0, 1GR2, 1LB8, 1LB9, 1LBB","4UQ6, 4UQJ, 4UQK, 5IDE, 5IDF, 5KBS, 5KBT, 5KBU, 5KBV, 5KK2"
O88602,OK,True,2,20,"3JXT, 4X3H","5KBS, 5KBT, 5KBU, 5WEO, 8FP4, 8FP9, 8FPG, 8FPS, 8FQ1, 8FQ5"
Q5JE88,OK,True,2,5,"4QIW, 4QJV","6KF3, 6KF4, 6KF9, 9BCT, 9BCU"
Q5JJD0,OK,True,1,5,4QIW,"6KF3, 6KF4, 6KF9, 9BCT, 9BCU"
Q5JE33,OK,True,1,5,4QIW,"6KF3, 6KF4, 6KF9, 9BCT, 9BCU"
Q5JE31,OK,True,1,5,4QIW,"6KF3, 6KF4, 6KF9, 9BCT, 9BCU"
Q5JI52,OK,True,2,5,"4QIW, 4QJF","6KF3, 6KF4, 6KF9, 9BCT, 9BCU"
Q5JIY4,OK,True,2,5,"4QIW, 4QJF","6KF3, 6KF4, 6KF9, 9BCT, 9BCU"
Q5JJF4,OK,True,2,5,"4QIW, 4QJV","6KF3, 6KF4, 6KF9, 9BCT, 9BCU"
Q5JE32,OK,True,1,5,4QIW,"6KF3, 6KF4, 6KF9, 9BCT, 9BCU"
Q5JDM8,OK,True,1,5,4QIW,"6KF3, 6KF4, 6KF9, 9BCT, 9BCU"
H9C180,OK,True,4,1,"7B5J, 7VJO, 7VJP, 7VJQ",8W35
Q5JJC9,OK,True,1,5,4QIW,"6KF3, 6KF4, 6KF9, 9BCT, 9BCU"
Q2FW07,OK,True,7,22,"4WCE, 4WF9, 4WFA, 4WFB, 5HKV, 5HL7, 5NRG","5LI0, 5ND8, 5ND9, 5TCU, 6DDD, 6DDG, 6HMA, 6SJ6, 6WQN, 6WQQ"
P12497,OK,True,317,26,"1A43, 1A8O, 1AFV, 1AK4, 1AUM, 1B92, 1B9D, 1B9F, 1BAJ, 1BHL","3DIK, 5U1C, 6PUT, 6PUW, 6PUY, 6PUZ, 6U8Q, 6V3K, 6VDK, 8FN7"
Q2FW29,OK,True,4,20,"4WCE, 4WFA, 4WFB, 5HL7","5LI0, 5ND8, 5ND9, 5TCU, 6DDD, 6DDG, 6HMA, 6WQN, 6WQQ, 6WRS"
